iter	Passed	Remaining
0	48	48127
1	48	24323
2	49	16358
3	49	12376
4	50	9984
5	50	8384
6	51	7240
7	51	6384
8	51	5718
9	52	5189
10	52	4753
11	53	4391
12	53	4082
13	54	3818
14	54	3601
15	55	3401
16	55	3225
17	56	3071
18	56	2931
19	57	2805
20	57	2691
21	58	2586
22	58	2491
23	59	2403
24	59	2322
25	60	2267
26	61	2207
27	61	2148
28	62	2106
29	63	2058
30	64	2014
31	65	1981
32	66	1941
33	67	1912
34	68	1874
35	68	1843
36	70	1837
37	71	1802
38	71	1770
39	75	1802
40	77	1801
41	81	1858
42	82	1829
43	82	1801
44	83	1781
45	85	1769
46	86	1745
47	86	1718
48	87	1692
49	89	1704
50	90	1690
51	91	1668
52	92	1644
53	92	1620
54	93	1599
55	93	1577
56	94	1566
57	95	1547
58	95	1529
59	96	1512
60	97	1496
61	97	1479
62	100	1491
63	100	1474
64	101	1458
65	101	1441
66	102	1427
67	102	1408
68	103	1392
69	103	1379
70	109	1426
71	114	1470
72	118	1508
73	120	1503
74	125	1549
75	126	1536
76	127	1523
77	127	1511
78	128	1499
79	129	1490
80	133	1515
81	136	1522
82	137	1514
83	138	1508
84	138	1492
85	139	1478
86	139	1463
87	140	1452
88	141	1444
89	141	1434
90	144	1446
91	145	1435
92	147	1433
93	147	1425
94	148	1416
95	149	1405
96	150	1398
97	150	1388
98	151	1377
99	151	1366
100	152	1355
101	152	1342
102	153	1332
103	153	1322
104	153	1312
105	154	1302
106	154	1292
107	155	1282
108	155	1273
109	156	1263
110	156	1254
111	157	1251
112	158	1244
113	159	1236
114	159	1228
115	160	1222
116	161	1215
117	161	1208
118	162	1199
119	162	1191
120	163	1187
121	163	1180
122	167	1194
123	168	1187
124	168	1181
125	169	1175
126	170	1169
127	170	1161
128	171	1158
129	172	1154
130	173	1147
131	173	1142
132	182	1187
133	182	1181
134	183	1175
135	184	1169
136	187	1183
137	188	1176
138	189	1170
139	189	1165
140	190	1159
141	191	1154
142	197	1185
143	198	1180
144	199	1175
145	200	1171
146	205	1195
147	206	1190
148	209	1195
149	211	1196
150	212	1192
151	212	1187
152	218	1207
153	222	1223
154	223	1218
155	224	1213
156	225	1209
157	226	1205
158	240	1269
159	241	1269
160	242	1265
161	256	1325
162	256	1319
163	257	1314
164	261	1325
165	264	1328
166	265	1323
167	265	1316
168	266	1310
169	267	1304
170	267	1297
171	268	1292
172	269	1286
173	286	1360
174	290	1368
175	290	1361
176	291	1355
177	292	1349
178	292	1342
179	293	1336
180	293	1328
181	294	1322
182	294	1316
183	309	1373
184	310	1366
185	310	1360
186	311	1353
187	324	1402
188	325	1396
189	326	1389
190	326	1383
191	327	1377
192	327	1370
193	328	1364
194	329	1358
195	329	1352
196	353	1440
197	354	1433
198	354	1427
199	355	1421
200	355	1414
201	356	1407
202	356	1401
203	357	1394
204	357	1387
205	358	1380
206	358	1373
207	359	1369
208	360	1363
209	360	1358
210	361	1352
211	362	1346
212	362	1340
213	363	1336
214	364	1331
215	367	1333
216	367	1327
217	368	1321
218	368	1315
219	370	1312
220	371	1308
221	372	1305
222	373	1300
223	373	1295
224	374	1289
225	374	1283
226	375	1277
227	377	1279
228	378	1274
229	383	1282
230	384	1279
231	386	1281
232	388	1279
233	389	1273
234	391	1276
235	392	1270
236	395	1273
237	402	1289
238	403	1284
239	403	1279
240	410	1293
241	411	1288
242	411	1283
243	416	1290
244	417	1285
245	417	1280
246	418	1275
247	419	1270
248	419	1265
249	420	1260
250	420	1255
251	426	1265
252	426	1260
253	427	1255
254	432	1262
255	432	1258
256	433	1253
257	434	1249
258	436	1249
259	437	1245
260	438	1240
261	438	1235
262	439	1230
263	439	1226
264	440	1221
265	441	1217
266	441	1212
267	442	1207
268	442	1203
269	443	1198
270	443	1194
271	444	1189
272	445	1185
273	445	1180
274	446	1176
275	447	1174
276	448	1170
277	448	1165
278	449	1161
279	453	1166
280	455	1164
281	455	1160
282	456	1157
283	460	1160
284	461	1158
285	463	1156
286	464	1153
287	465	1149
288	467	1151
289	469	1148
290	469	1144
291	470	1140
292	470	1136
293	471	1132
294	472	1128
295	472	1124
296	473	1120
297	473	1116
298	474	1111
299	474	1107
300	474	1102
301	475	1099
302	475	1094
303	476	1090
304	476	1086
305	477	1082
306	477	1078
307	478	1075
308	478	1071
309	479	1067
310	480	1063
311	480	1059
312	481	1055
313	489	1069
314	490	1066
315	493	1067
316	493	1063
317	494	1059
318	494	1056
319	495	1053
320	496	1050
321	497	1048
322	498	1044
323	498	1040
324	499	1036
325	499	1032
326	500	1029
327	500	1025
328	500	1021
329	501	1017
330	501	1014
331	502	1010
332	502	1006
333	502	1002
334	503	999
335	503	995
336	504	992
337	504	988
338	505	984
339	506	983
340	507	980
341	508	977
342	508	973
343	508	970
344	509	966
345	509	963
346	510	959
347	510	956
348	510	952
349	511	949
350	511	946
351	512	942
352	512	939
353	513	936
354	513	932
355	513	929
356	514	926
357	514	923
358	515	920
359	515	917
360	516	914
361	517	911
362	517	908
363	518	905
364	518	902
365	519	900
366	520	897
367	520	894
368	521	891
369	521	888
370	522	885
371	522	882
372	523	879
373	523	876
374	524	873
375	524	870
376	524	867
377	525	864
378	525	861
379	526	858
380	526	855
381	526	852
382	527	849
383	527	846
384	528	843
385	528	840
386	528	837
387	529	834
388	529	832
389	530	829
390	530	826
391	531	823
392	531	821
393	532	818
