iter	Passed	Remaining
0	49	49545
1	50	25018
2	50	16815
3	51	12703
4	51	10239
5	51	8601
6	52	7493
7	53	6605
8	53	5917
9	54	5367
10	54	4914
11	55	4550
12	55	4235
13	56	3962
14	56	3726
15	57	3524
16	57	3344
17	58	3181
18	58	3034
19	59	2902
20	59	2789
21	61	2724
22	61	2628
23	62	2535
24	62	2447
25	63	2368
26	63	2293
27	64	2224
28	64	2159
29	64	2100
30	65	2044
31	65	1991
32	66	1959
33	67	1927
34	68	1886
35	68	1843
36	69	1804
37	69	1766
38	70	1734
39	70	1700
40	71	1667
41	71	1636
42	72	1606
43	72	1578
44	73	1550
45	73	1528
46	74	1508
47	75	1487
48	75	1464
49	75	1442
50	76	1420
51	76	1399
52	77	1378
53	77	1359
54	78	1340
55	78	1321
56	78	1303
57	79	1287
58	79	1271
59	80	1255
60	80	1240
61	81	1225
62	81	1215
63	82	1206
64	82	1193
65	83	1183
66	84	1170
67	84	1158
68	85	1147
69	85	1136
70	85	1124
71	86	1113
72	86	1102
73	87	1094
74	87	1083
75	88	1073
76	88	1064
77	89	1055
78	89	1046
79	90	1038
80	90	1029
81	91	1021
82	91	1010
83	91	1001
84	92	993
85	92	985
86	93	980
87	93	972
88	94	964
89	94	957
90	95	950
91	95	943
92	96	937
93	96	931
94	97	924
95	97	918
96	97	911
97	98	905
98	98	899
99	99	893
100	99	887
101	100	882
102	100	877
103	101	872
104	101	868
105	102	864
106	102	859
107	103	854
108	103	849
109	104	844
110	104	840
111	105	835
112	105	830
113	106	825
114	106	821
115	107	816
116	107	811
117	108	807
118	108	803
119	109	800
120	109	795
121	109	790
122	110	786
123	110	781
124	111	777
125	111	773
126	111	769
127	112	764
128	112	761
129	113	757
130	113	753
131	114	750
132	114	748
133	115	744
134	115	740
135	116	737
136	116	733
137	116	729
138	117	726
139	117	722
140	118	719
141	118	714
142	118	711
143	119	708
144	119	706
145	120	704
146	120	700
147	121	697
148	121	694
149	121	691
150	122	688
151	122	685
152	123	682
153	123	679
154	124	676
155	124	673
156	124	670
157	125	667
158	125	664
159	126	662
160	126	658
161	126	656
162	127	653
163	127	651
164	128	648
165	128	645
166	129	644
167	129	642
168	130	640
169	130	637
170	131	635
171	131	633
172	131	630
173	132	628
174	132	626
175	133	624
176	133	621
177	134	621
178	135	619
179	135	618
180	136	616
181	136	615
182	137	613
183	137	610
184	138	608
185	138	606
186	139	606
187	139	604
188	140	602
189	141	602
190	141	600
191	142	598
192	142	596
193	143	595
194	143	593
195	144	591
196	145	591
197	145	589
198	145	587
199	146	585
200	146	583
201	147	581
202	147	579
203	148	577
204	148	575
205	149	576
206	149	574
207	150	572
208	151	574
209	152	573
210	152	571
211	153	569
212	153	568
213	154	567
214	154	565
215	156	568
216	157	567
217	157	565
218	158	564
219	158	562
220	159	561
221	159	560
222	160	559
223	161	558
224	161	556
225	162	555
226	162	553
227	162	551
228	163	549
229	163	548
230	164	548
231	165	547
232	166	546
233	166	545
234	167	544
235	167	543
236	168	542
237	169	541
238	169	540
239	170	539
240	175	553
241	176	551
242	176	550
243	177	548
244	177	546
